                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.3735,                0.33498,                 0.8938,                0.96692,                0.80106,                0.87694,                0.79566,                0.47364,                 0.3287,                0.89512,              0.0074863,              0.0074863,              0.0074863
                     68,                0.37672,                0.34106,                0.89486,                0.95743,                0.80911,                0.87791,                0.79724,                0.47338,                0.32682,                0.89406,              0.0074477,              0.0074477,              0.0074477
                     69,                0.37485,                0.33281,                0.89238,                0.95097,                0.81328,                 0.8795,                0.79776,                0.47228,                0.32411,                0.89366,               0.007409,               0.007409,               0.007409
                     70,                0.36512,                0.32873,                0.88969,                0.95541,                0.81062,                0.87802,                0.79606,                 0.4733,                0.32391,                0.89363,              0.0073703,              0.0073703,              0.0073703
                     71,                0.36936,                 0.3306,                0.89096,                0.95105,                0.81179,                0.87767,                0.79669,                0.47227,                0.32313,                0.89296,              0.0073316,              0.0073316,              0.0073316
                     72,                0.36816,                0.32779,                0.89088,                0.94441,                0.81522,                0.87745,                0.79749,                0.47286,                0.32284,                0.89396,               0.007293,               0.007293,               0.007293
                     73,                0.36773,                0.32727,                 0.8904,                0.94999,                0.81023,                0.87856,                0.79734,                0.47175,                0.32151,                0.89359,              0.0072543,              0.0072543,              0.0072543
                     74,                0.36501,                0.32521,                 0.8897,                0.96929,                0.79779,                0.87766,                0.79799,                0.47108,                 0.3217,                0.89255,              0.0072156,              0.0072156,              0.0072156
                     75,                0.36807,                0.32928,                 0.8908,                0.97458,                0.79716,                0.87878,                0.79769,                0.47169,                0.32224,                0.89206,               0.007177,               0.007177,               0.007177
                     76,                0.36759,                0.32736,                0.89003,                0.97528,                0.79687,                0.87901,                0.79699,                0.47246,                0.32089,                 0.8922,              0.0071383,              0.0071383,              0.0071383
                     77,                0.36944,                0.32857,                 0.8916,                0.97185,                0.79956,                0.87859,                0.79778,                0.47264,                 0.3207,                0.89195,              0.0070996,              0.0070996,              0.0070996
                     78,                0.36615,                0.32301,                0.88957,                0.97139,                0.79902,                0.87869,                0.79771,                0.47264,                0.32133,                 0.8919,              0.0070609,              0.0070609,              0.0070609
                     79,                0.36551,                 0.3268,                0.88992,                0.97008,                0.79954,                0.87666,                0.79702,                0.47269,                0.32034,                0.89188,              0.0070223,              0.0070223,              0.0070223
                     80,                0.36245,                0.32383,                0.89011,                0.96959,                0.80231,                0.87837,                0.79704,                0.47391,                0.31995,                0.89294,              0.0069836,              0.0069836,              0.0069836
                     81,                0.36932,                0.32818,                0.89165,                0.96785,                0.80323,                0.87862,                0.79677,                0.47488,                0.31998,                0.89396,              0.0069449,              0.0069449,              0.0069449
                     82,                0.35771,                0.31628,                0.88637,                0.96853,                0.80314,                0.87837,                0.79735,                0.47498,                0.31878,                0.89396,              0.0069063,              0.0069063,              0.0069063
                     83,                 0.3592,                0.31902,                0.88563,                0.96875,                0.80491,                0.87821,                0.79647,                0.47472,                0.31843,                0.89356,              0.0068676,              0.0068676,              0.0068676
                     84,                0.35604,                0.31783,                0.88601,                0.96623,                0.80575,                0.87759,                0.79674,                0.47435,                 0.3186,                0.89308,              0.0068289,              0.0068289,              0.0068289
                     85,                0.36461,                0.32609,                0.89066,                0.96489,                0.80557,                0.87698,                0.79662,                0.47346,                0.31821,                0.89241,              0.0067902,              0.0067902,              0.0067902
                     86,                0.36736,                0.32431,                 0.8918,                0.96137,                0.80529,                0.87764,                0.79671,                 0.4734,                0.31781,                0.89225,              0.0067516,              0.0067516,              0.0067516
                     87,                0.36578,                0.32316,                0.88936,                0.96238,                 0.8069,                0.87737,                0.79672,                0.47249,                0.31763,                0.89135,              0.0067129,              0.0067129,              0.0067129
                     88,                0.36247,                0.32083,                0.88941,                0.96077,                0.80757,                0.87779,                0.79744,                0.47247,                0.31827,                0.89129,              0.0066742,              0.0066742,              0.0066742
                     89,                0.35879,                0.31632,                0.88638,                0.95414,                0.81179,                0.87838,                0.79712,                0.47274,                0.31875,                0.89149,              0.0066355,              0.0066355,              0.0066355
                     90,                0.36326,                0.32056,                0.88837,                0.95053,                0.81296,                0.87863,                0.79798,                0.47294,                0.31965,                0.89185,              0.0065969,              0.0065969,              0.0065969
                     91,                0.35368,                0.31165,                0.88564,                0.95255,                0.81123,                0.87805,                0.79737,                0.47334,                0.32095,                0.89193,              0.0065582,              0.0065582,              0.0065582
                     92,                0.36632,                0.32223,                 0.8912,                 0.9521,                0.81179,                0.87806,                0.79751,                 0.4738,                0.32085,                0.89227,              0.0065195,              0.0065195,              0.0065195
